step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
20,0.05,0.005000000000000001,262.4426813122876,0.8170074718497258,-0.40850373593314526,-0.40850373593314526,262.4426813122876,0.0,0.0,0.8170074718497258,-0.40850373593314526,-0.40850373593314526,262.4426813122876,0.0,0.0,0.0,1.2499999999970868e-05,0.0,0.0025000000000000005,0.0,0.0,0.0,-1.2499999999970868e-05,0.0,0.0025000000000000005,0.0,0.0,-6.2499739584637735e-06,6.249973958434289e-06,0.0,0.0024999895833854482,0.0,0.0,6.249973958434289e-06,-6.2499739584637735e-06,0.0,0.0024999895833854482,0.0,0.0,0.0009973096387869485,0.0,263678.50302659656,114476.6076594567,1485.2105799947458,263675.81886195333,114475.87319504638,1485.6190837306592
21,0.0525,0.00525,262.8135656368673,0.8445929018846554,-0.4222964509423277,-0.4222964509423277,262.8135656368673,0.0,0.0,0.8445929018846554,-0.4222964509423277,-0.4222964509423277,262.8135656368673,0.0,0.0,0.0,1.378124999995567e-05,0.0,0.002625,0.0,0.0,0.0,-1.378124999995567e-05,0.0,0.002625,0.0,0.0,-6.8905933463653515e-06,6.890593346322095e-06,0.0,0.002624987941472639,0.0,0.0,6.890593346322095e-06,-6.8905933463653515e-06,0.0,0.002624987941472639,0.0,0.0,0.001138976790202743,0.0,263688.1054938753,114471.88445151733,1481.8248420604068,263685.2216085415,114471.13069854036,1482.2471385113456
22,0.055,0.0055000000000000005,263.183604843137,0.8704544853252223,-0.4352272426708951,-0.4352272426708951,263.183604843137,0.0,0.0,0.8704544853252223,-0.4352272426708951,-0.4352272426708951,263.183604843137,0.0,0.0,0.0,1.5125000000004718e-05,0.0,0.0027500000000000003,0.0,0.0,0.0,-1.5125000000004718e-05,0.0,0.0027500000000000003,0.0,0.0,-7.562461872626125e-06,7.562461872630818e-06,0.0,0.0027499861355005303,0.0,0.0,7.562461872630818e-06,-7.562461872626125e-06,0.0,0.0027499861355005303,0.0,0.0,0.001280650033564143,0.0,263697.66638771887,114467.18445151686,1478.4471427945537,263694.58247764176,114466.4117082107,1478.8823700372093
23,0.0575,0.005750000000000001,263.5528009064142,0.894716214506552,-0.4473581072449913,-0.4473581072449913,263.5528009064142,0.0,0.0,0.894716214506552,-0.4473581072449913,-0.4473581072449913,263.5528009064142,0.0,0.0,0.0,1.6531250000006992e-05,0.0,0.0028750000000000004,0.0,0.0,0.0,-1.6531250000006992e-05,0.0,0.0028750000000000004,0.0,0.0,-8.265579453263195e-06,8.265579453270712e-06,0.0,0.002874984157656841,0.0,0.0,8.265579453270712e-06,-8.265579453263195e-06,0.0,0.002874984157656841,0.0,0.0,0.0014223293548551006,-1.1368683772161603e-13,263707.18564054987,114462.50748762538,1475.0773185625585,263703.90160613315,114461.71597098015,1475.5246766698065
24,0.06,0.006,263.92115576457667,0.9174929924050385,-0.45874649621909014,-0.45874649621909014,263.92115576457667,0.0,0.0,0.9174929924050385,-0.45874649621909014,-0.45874649621909014,263.92115576457667,0.0,0.0,0.0,1.799999999996249e-05,0.0,0.003,0.0,0.0,0.0,-1.799999999996249e-05,0.0,0.003,0.0,0.0,-8.999946000387422e-06,8.999946000350923e-06,0.0,0.002999982000129508,0.0,0.0,8.999946000350923e-06,-8.999946000387422e-06,0.0,0.0029999820001295084,0.0,0.0,0.0015640147402120569,-5.684341886080802e-14,263716.6632044989,114457.8533971947,1471.7152335506253,263713.17911951087,114457.04325299604,1472.1739800468347
25,0.0625,0.00625,264.288671324606,0.9388913106365095,-0.4694456553182548,-0.4694456553182548,264.288671324606,0.0,0.0,0.9388913106365095,-0.4694456553182548,-0.4694456553182548,264.288671324606,0.0,0.0,0.0,1.9531249999982236e-05,0.0,0.003125,0.0,0.0,0.0,-1.9531249999982236e-05,0.0,0.003125,0.0,0.0,-9.765561422209666e-06,9.76556142219128e-06,0.0,0.0031249796551069135,0.0,0.0,9.76556142219128e-06,-9.765561422209666e-06,0.0,0.0031249796551069135,0.0,0.0,0.0017057061758995696,-1.1368683772161603e-13,263726.0990515785,114453.22202494984,1468.360775322246,263722.4151355872,114452.39333677007,1468.8302209775613
26,0.065,0.006500000000000001,264.6553494680729,0.9590098756816208,-0.47950493785738435,-0.47950493785738435,264.6553494680729,0.0,0.0,0.9590098756816208,-0.47950493785738435,-0.47950493785738435,264.6553494680729,0.0,0.0,0.0,2.1124999999955207e-05,0.0,0.0032500000000000003,0.0,0.0,0.0,-2.1124999999955207e-05,0.0,0.0032500000000000003,0.0,0.0,-1.0562425623024428e-05,1.0562425622979333e-05,0.0,0.00324997711477672,0.0,0.0,1.0562425622979333e-05,-1.0562425623024428e-05,0.0,0.0032499771147767196,0.0,0.0,0.0018474036482898865,-5.684341886080802e-14,263735.4931735119,114448.6132215067,1465.0138510451507,263731.6097674904,114447.76601874726,1465.4933559830042
27,0.0675,0.006750000000000001,265.02119205572507,0.9779401879880129,-0.4889700939940064,-0.4889700939940064,265.02119205572507,0.0,0.0,0.9779401879880129,-0.4889700939940064,-0.4889700939940064,265.02119205572507,0.0,0.0,0.0,2.2781249999992426e-05,0.0,0.0033750000000000004,0.0,0.0,0.0,-2.2781249999992426e-05,0.0,0.0033750000000000004,0.0,0.0,-1.1390538503229658e-05,1.1390538503221686e-05,0.0,0.0033749743713273155,0.0,0.0,1.1390538503221686e-05,-1.1390538503229658e-05,0.0,0.0033749743713273155,0.0,0.0,0.0019891071438458635,5.684341886080802e-14,263744.8455812931,114444.02684216345,1461.6743842903525,263740.7631260682,114443.16110724137,1462.1633543843525
28,0.07,0.007000000000000001,265.3862009313139,0.9957670769784445,-0.4978835384809337,-0.4978835384809337,265.3862009313139,0.0,0.0,0.9957670769784445,-0.4978835384809337,-0.4978835384809337,265.3862009313139,0.0,0.0,0.0,2.449999999998287e-05,0.0,0.0035000000000000005,0.0,0.0,0.0,-2.449999999998287e-05,0.0,0.0035000000000000005,0.0,0.0,-1.2249899959312596e-05,1.2249899959296244e-05,0.0,0.003499971416946708,0.0,0.0,1.2249899959296244e-05,-1.2249899959312596e-05,0.0,0.003499971416946708,0.0,0.0,0.0021308166491067256,-1.1368683772161603e-13,263754.1563045493,114439.46274591923,1458.3423123184912,263749.87532180286,114438.57842068194,1458.8401958569652
29,0.0725,0.0072499999999999995,265.7503779247783,1.0125691958094074,-0.5062845978964143,-0.5062845978964143,265.7503779247783,0.0,0.0,1.0125691958094074,-0.5062845978964143,-0.5062845978964143,265.7503779247783,0.0,0.0,0.0,2.628125000003756e-05,0.0,0.0036249999999999998,0.0,0.0,0.0,-2.628125000003756e-05,0.0,0.0036249999999999998,0.0,0.0,-1.3140509883860238e-05,1.3140509883898391e-05,0.0,0.0036249682438234125,0.0,0.0,1.3140509883898391e-05,-1.3140509883860238e-05,0.0,0.0036249682438234125,0.0,0.0,0.0022725321506762187,0.0,263763.4253907539,114434.9207946826,1455.0175837812421,263758.94646631036,114434.01778612731,1455.5238683791433
