step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
20,0.05,0.005000000000000001,463.86216794840885,309.24144529890805,-154.6207226495008,-154.6207226495008,0.0,0.0,0.0,309.241445298908,-154.62072264950078,-154.62072264950078,0.0,0.0,0.0,0.0050250835420839746,-0.0024937604036588956,-0.0024937604036588956,0.0,0.0,0.0,0.004975083125415836,-0.002506260429700591,-0.002506260429700591,0.0,0.0,0.0,0.004999999999999946,-0.0025000000000000525,-0.0025000000000000525,0.0,0.0,0.0,0.004999999999999946,-0.0025000000000000525,-0.0025000000000000525,0.0,0.0,0.0,0.003079984973145931,1.1368683772161603e-13,164170.16154065536,162842.71363825302,71320.66263867359,165510.8576490749,163250.32973016353,71119.57007242103
21,0.0525,0.00525,464.93952743254846,309.9596849550141,-154.97984247753436,-154.97984247753436,0.0,0.0,0.0,309.95968495501404,-154.97984247753433,-154.97984247753433,0.0,0.0,0.0,0.005277659222513109,-0.0026181214177835033,-0.0026181214177835033,0.0,0.0,0.0,0.005222533716050248,-0.0026319026994373607,-0.0026319026994373607,0.0,0.0,0.0,0.005249999999999925,-0.002625000000000054,-0.002625000000000054,0.0,0.0,0.0,0.005249999999999925,-0.002625000000000054,-0.002625000000000054,0.0,0.0,0.0,0.0033260200465091267,5.684341886080802e-14,164079.86915186944,162826.14783072562,71356.26562088754,165501.82473623066,163254.12794692963,71137.6067287349
22,0.055,0.0055000000000000005,466.0126228328884,310.675081888587,-155.3375409443014,-155.3375409443014,0.0,0.0,0.0,310.675081888587,-155.3375409443014,-155.3375409443014,0.0,0.0,0.0,0.005530361222359836,-0.0027424513455405197,-0.0027424513455405197,0.0,0.0,0.0,0.005469860612315747,-0.0027575763836681366,-0.0027575763836681366,0.0,0.0,0.0,0.005500000000000058,-0.0027500000000000376,-0.0027500000000000376,0.0,0.0,0.0,0.005500000000000058,-0.0027500000000000376,-0.0027500000000000376,0.0,0.0,0.0,0.0035720739633372293,0.0,163989.65833480094,162809.5687419004,71391.73731090329,165492.82734755802,163257.91124433235,71155.49811975007
23,0.0575,0.005750000000000001,467.081470901413,311.3876472676062,-155.69382363380677,-155.69382363380677,0.0,0.0,0.0,311.38764726760616,-155.69382363380674,-155.69382363380674,0.0,0.0,0.0,0.005783189604799288,-0.002866750194700618,-0.002866750194700618,0.0,0.0,0.0,0.005717063876043482,-0.0028832814902477466,-0.0028832814902477466,0.0,0.0,0.0,0.005749999999999978,-0.002875000000000056,-0.002875000000000056,0.0,0.0,0.0,0.005749999999999978,-0.002875000000000056,-0.002875000000000056,0.0,0.0,0.0,0.0038181466495677864,-5.684341886080802e-14,163899.52889663036,162792.9764309939,71427.07921568627,165483.8653528558,163261.67967630443,71173.24585282317
24,0.06,0.006,468.14608832953286,312.0973922196886,-156.0486961098443,-156.0486961098443,0.0,0.0,0.0,312.0973922196886,-156.0486961098443,-156.0486961098443,0.0,0.0,0.0,0.006036144433038904,-0.0029910179730323616,-0.0029910179730323616,0.0,0.0,0.0,0.005964143569034852,-0.003009018027032462,-0.003009018027032462,0.0,0.0,0.0,0.006000000000000026,-0.002999999999999994,-0.002999999999999994,0.0,0.0,0.0,0.006000000000000026,-0.002999999999999994,-0.002999999999999994,0.0,0.0,0.0,0.004064238031407873,5.684341886080802e-14,163809.48064521266,162776.37095702445,71462.2928202547,165474.93862234417,163265.43329660821,71190.85151192558
25,0.0625,0.00625,469.2064917482595,312.80432783216776,-156.40216391609178,-156.40216391609178,0.0,0.0,0.0,312.80432783216776,-156.40216391609178,-156.40216391609178,0.0,0.0,0.0,0.006289225770317208,-0.003115254688302649,-0.003115254688302649,0.0,0.0,0.0,0.006211099753059335,-0.003134786001880885,-0.003134786001880885,0.0,0.0,0.0,0.006250000000000019,-0.0031250000000000145,-0.0031250000000000145,0.0,0.0,0.0,0.006250000000000019,-0.0031250000000000145,-0.0031250000000000145,0.0,0.0,0.0,0.004310348035332791,-1.1368683772161603e-13,163719.51338901778,162759.7523788417,71497.37958811448,165466.04702660558,163269.17215886505,71208.31665810413
26,0.065,0.006500000000000001,470.2626977283842,313.5084651522561,-156.75423257612803,-156.75423257612803,0.0,0.0,0.0,313.5084651522561,-156.75423257612803,-156.75423257612803,0.0,0.0,0.0,0.00654243367990448,-0.003239460348276102,-0.003239460348276102,0.0,0.0,0.0,0.006457932489856211,-0.003260585422653728,-0.003260585422653728,0.0,0.0,0.0,0.0064999999999999026,-0.003249999999999944,-0.003249999999999944,0.0,0.0,0.0,0.0064999999999999026,-0.003249999999999944,-0.003249999999999944,0.0,0.0,0.0,0.004556476588085582,-5.684341886080802e-14,163629.62693717447,162743.12075510397,71532.34096162133,165457.1904366302,163272.8963165326,71225.64282986839
27,0.0675,0.006750000000000001,471.31472278065223,314.2098151870833,-157.10490759356898,-157.10490759356898,0.0,0.0,0.0,314.2098151870832,-157.10490759356895,-157.10490759356895,0.0,0.0,0.0,0.006795768225102972,-0.0033636349607158444,-0.0033636349607158444,0.0,0.0,0.0,0.006704641841133674,-0.0033864162972135903,-0.0033864162972135903,0.0,0.0,0.0,0.006749999999999944,-0.0033750000000000537,-0.0033750000000000537,0.0,0.0,0.0,0.006749999999999944,-0.0033750000000000537,-0.0033750000000000537,0.0,0.0,0.0,0.004802623616676035,5.684341886080802e-14,163539.82109946068,162726.47614428296,71567.17836237833,165448.3687238071,163276.60582290933,71242.83154361293
28,0.07,0.007000000000000001,472.362583355939,314.90838890396986,-157.45419445196913,-157.45419445196913,0.0,0.0,0.0,314.90838890396986,-157.45419445196913,-157.45419445196913,0.0,0.0,0.0,0.007049229469246243,-0.0034877785333824463,-0.0034877785333824463,0.0,0.0,0.0,0.006951227868569054,-0.003512278633424404,-0.003512278633424404,0.0,0.0,0.0,0.0070000000000000695,-0.0034999999999999988,-0.0034999999999999988,0.0,0.0,0.0,0.0070000000000000695,-0.0034999999999999988,-0.0034999999999999988,0.0,0.0,0.0,0.005048789048379738,0.0,163450.09568628707,162709.818604671,71601.89319160621,165439.5817599089,163280.30073114161,71259.88429401172
29,0.0725,0.0072499999999999995,473.406295845429,315.60419723027303,-157.80209861515596,-157.80209861515596,0.0,0.0,0.0,315.604197230273,-157.80209861515593,-157.80209861515593,0.0,0.0,0.0,0.007302817475699275,-0.003611891074035145,-0.003611891074035145,0.0,0.0,0.0,0.007197690633808818,-0.0036381724391526538,-0.0036381724391526538,0.0,0.0,0.0,0.00724999999999995,-0.0036250000000000444,-0.0036250000000000444,0.0,0.0,0.0,0.00724999999999995,-0.0036250000000000444,-0.0036250000000000444,0.0,0.0,0.0,0.005294972810737691,0.0,163360.450508717,162693.14819437018,71636.48683049036,165430.82941711316,163283.9810942131,71276.80255438897
